,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,cluster
43,Volkswagen Vento,Volkswagen,Vento,6,74000,Dealer,Diesel,Automatic,21.5,1498,108.5,5,690000,1
44,Renault Triber,Renault,Triber,2,2709,Dealer,Petrol,Manual,20.0,999,71.0,7,575000,2
45,Toyota Innova,Toyota,Innova,3,30000,Dealer,Diesel,Manual,13.68,2393,147.51,8,1600000,2
46,Maruti Ciaz,Maruti,Ciaz,5,71000,Dealer,Petrol,Manual,20.73,1373,91.1,5,600000,0
47,Maruti Wagon R,Maruti,Wagon R,9,56890,Dealer,Petrol,Automatic,18.9,998,67.1,5,220000,0
48,Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,0
49,Ford Ecosport,Ford,Ecosport,7,50250,Dealer,Petrol,Automatic,16.5,1499,110.0,5,621000,0
50,Hyundai i10,Hyundai,i10,9,70000,Dealer,LPG,Manual,19.0,1086,68.1,5,285000,1
51,Honda WR-V,Honda,WR-V,4,34000,Dealer,Petrol,Manual,17.5,1199,88.7,5,785000,0
52,Ford Ecosport,Ford,Ecosport,5,72000,Individual,Diesel,Manual,22.77,1498,98.59,5,650000,1
53,Hyundai i20,Hyundai,i20,6,35000,Dealer,Petrol,Manual,17.19,1197,81.86,5,575000,0
54,Maruti Swift Dzire,Maruti,Swift Dzire,12,145000,Individual,Petrol,Manual,17.5,1298,85.8,5,175000,0
55,Maruti Alto,Maruti,Alto,11,87743,Individual,Petrol,Manual,19.7,796,46.3,5,150000,0
56,Maruti Baleno,Maruti,Baleno,4,20000,Dealer,Petrol,Automatic,19.56,1197,81.8,5,710000,0
57,Toyota Innova,Toyota,Innova,7,86000,Dealer,Diesel,Manual,12.8,2494,102.0,7,995000,2
58,Maruti Swift Dzire,Maruti,Swift Dzire,2,20000,Dealer,Diesel,Manual,26.59,1248,74.0,5,816000,1
59,Maruti Baleno,Maruti,Baleno,4,36000,Dealer,Petrol,Manual,21.4,1197,83.1,5,575000,0
60,Volkswagen Polo,Volkswagen,Polo,3,50000,Dealer,Petrol,Manual,18.78,999,75.0,5,725000,0
61,Honda City,Honda,City,3,41000,Dealer,Petrol,Manual,17.0,1497,118.0,5,845000,0
62,Volkswagen Polo,Volkswagen,Polo,3,22000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,760000,0
63,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,12,107742,Dealer,Diesel,Automatic,11.0,2987,198.5,5,1175000,1
64,Toyota Innova,Toyota,Innova,5,68194,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1950000,2
65,Ford Figo,Ford,Figo,5,61304,Dealer,Petrol,Manual,18.16,1196,86.8,5,340000,0
66,Skoda Rapid,Skoda,Rapid,7,50000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,580000,1
67,Maruti Vitara,Maruti,Vitara,3,32000,Dealer,Diesel,Manual,24.3,1248,88.5,5,920000,1
68,Maruti Wagon R,Maruti,Wagon R,15,70000,Individual,Petrol,Manual,18.9,998,67.1,5,200000,0
69,Maruti Swift Dzire,Maruti,Swift Dzire,3,27000,Dealer,Diesel,Automatic,28.4,1248,74.02,5,725000,1
70,Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000,0
71,Honda City,Honda,City,7,96434,Dealer,Diesel,Manual,26.0,1498,98.6,5,450000,1
72,Porsche Cayenne,Porsche,Cayenne,9,87000,Dealer,Diesel,Automatic,15.15,2967,240.0,5,4200000,1
73,Renault KWID,Renault,KWID,4,54000,Dealer,Petrol,Automatic,24.04,999,67.0,5,345000,0
74,Maruti Alto,Maruti,Alto,11,29000,Individual,Petrol,Manual,19.7,796,46.3,5,150000,0
75,Renault KWID,Renault,KWID,5,26500,Individual,Petrol,Manual,25.17,799,53.3,5,360000,0
76,Renault KWID,Renault,KWID,4,25000,Individual,Petrol,Manual,23.01,999,67.0,5,250000,0
77,Maruti Baleno,Maruti,Baleno,4,55087,Dealer,Petrol,Manual,21.01,1197,81.8,5,605000,0
78,Toyota Fortuner,Toyota,Fortuner,9,104446,Dealer,Diesel,Manual,12.55,2982,168.5,7,1340000,2
79,BMW 5,BMW,5,9,72133,Dealer,Diesel,Automatic,16.73,2993,218.0,5,1675000,1
80,Maruti Baleno,Maruti,Baleno,3,18000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,760000,0
81,Toyota Innova,Toyota,Innova,14,95000,Dealer,Diesel,Manual,12.8,2494,102.0,8,474000,2
82,Maruti Swift Dzire,Maruti,Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,600000,1
83,Honda City,Honda,City,7,26000,Dealer,Diesel,Manual,26.0,1498,98.6,5,590000,1
84,Maruti Swift Dzire,Maruti,Swift Dzire,9,80000,Individual,Petrol,Manual,17.5,1197,85.8,5,400000,0
85,Maruti Wagon R,Maruti,Wagon R,13,108000,Individual,LPG,Manual,17.3,1061,57.5,5,175000,1
86,Volkswagen Polo,Volkswagen,Polo,6,44000,Dealer,Petrol,Automatic,17.21,1798,189.0,4,595000,2
87,Hyundai Verna,Hyundai,Verna,13,85753,Dealer,Diesel,Manual,18.1,1493,110.0,5,250000,1
88,Maruti Wagon R,Maruti,Wagon R,4,10000,Individual,Petrol,Manual,20.51,998,67.04,5,420000,0
89,Mahindra Scorpio,Mahindra,Scorpio,2,45000,Dealer,Diesel,Manual,16.36,2179,140.0,7,1250000,2
90,BMW X5,BMW,X5,7,60000,Dealer,Diesel,Automatic,15.97,2993,258.0,5,3350000,1
91,Renault KWID,Renault,KWID,4,9000,Individual,Petrol,Manual,25.17,799,53.3,5,410000,0
92,Renault Duster,Renault,Duster,6,60000,Dealer,Diesel,Manual,19.87,1461,84.0,5,500000,1
93,Volkswagen Polo,Volkswagen,Polo,11,39800,Individual,Petrol,Manual,16.47,1198,73.9,5,265000,0
94,Honda Amaze,Honda,Amaze,2,11000,Dealer,Diesel,Automatic,23.8,1498,78.9,5,900000,1
95,Ford Ecosport,Ford,Ecosport,6,16000,Dealer,Diesel,Manual,22.7,1498,89.84,5,750000,1
96,Maruti Ertiga,Maruti,Ertiga,7,46000,Dealer,Petrol,Manual,19.01,1462,103.26,7,595000,2
98,Toyota Innova,Toyota,Innova,4,100000,Individual,Diesel,Manual,13.68,2393,147.8,7,1500000,2
99,Maruti Ertiga,Maruti,Ertiga,7,69000,Dealer,CNG,Manual,22.8,1373,80.9,7,615000,2
100,Honda Amaze,Honda,Amaze,8,48000,Dealer,Diesel,Manual,25.8,1498,98.6,5,350000,1
101,Volkswagen Vento,Volkswagen,Vento,10,65101,Dealer,Diesel,Manual,20.54,1598,103.6,5,285000,1
102,Audi Q7,Audi,Q7,9,130000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,1950000,2
103,Maruti Wagon R,Maruti,Wagon R,8,140000,Individual,CNG,Manual,26.6,998,58.16,5,275000,1
104,Ford Figo,Ford,Figo,8,46000,Dealer,Diesel,Manual,20.0,1399,68.05,5,294000,1
105,Hyundai Grand,Hyundai,Grand,7,84566,Dealer,Diesel,Manual,24.0,1186,73.97,5,360000,1
106,Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,560000,0
107,Maruti Wagon R,Maruti,Wagon R,12,113000,Dealer,Petrol,Manual,21.79,998,67.05,5,135000,0
108,Maruti Swift,Maruti,Swift,8,53569,Dealer,Diesel,Manual,22.9,1248,74.0,5,285000,1
109,Volkswagen Polo,Volkswagen,Polo,3,22003,Dealer,Petrol,Manual,16.47,1198,74.0,5,650000,0
110,BMW 5,BMW,5,7,41000,Dealer,Diesel,Automatic,18.12,1995,190.0,5,1890000,1
111,Hyundai Grand,Hyundai,Grand,3,38000,Dealer,Petrol,Manual,18.9,1197,81.86,5,595000,0
112,Renault Duster,Renault,Duster,9,66000,Individual,Diesel,Manual,19.01,1461,108.45,5,428000,1
113,Toyota Innova,Toyota,Innova,9,120000,Individual,Diesel,Manual,12.8,2494,102.0,8,875000,2
114,Maruti Vitara,Maruti,Vitara,4,55000,Dealer,Diesel,Manual,24.3,1248,88.5,5,955000,1
115,Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,760000,0
116,Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000,0
117,Renault KWID,Renault,KWID,5,35000,Individual,Petrol,Manual,25.17,799,53.3,5,250000,0
118,Maruti Swift Dzire,Maruti,Swift Dzire,3,140000,Individual,Diesel,Manual,23.4,1248,74.0,5,550000,1
119,Honda Amaze,Honda,Amaze,5,45000,Dealer,Petrol,Manual,17.8,1198,86.7,5,450000,0
120,Tata Hexa,Tata,Hexa,4,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1250000,2
121,Honda City,Honda,City,7,100000,Individual,Diesel,Manual,26.0,1498,98.6,5,550000,1
122,Honda City,Honda,City,6,20000,Individual,Petrol,Automatic,18.0,1497,117.3,5,800000,0
123,Hyundai i20,Hyundai,i20,8,26000,Individual,Petrol,Manual,18.5,1197,82.85,5,355000,0
124,Volkswagen Polo,Volkswagen,Polo,7,71377,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,1
125,Hyundai i20,Hyundai,i20,8,75518,Dealer,Petrol,Manual,18.5,1197,82.9,5,390000,0
126,Maruti Ertiga,Maruti,Ertiga,7,51000,Dealer,Petrol,Manual,16.02,1373,93.7,7,625000,2
127,Honda City,Honda,City,7,70000,Individual,Diesel,Manual,26.0,1498,98.6,5,520000,1
128,Toyota Innova,Toyota,Innova,3,21265,Individual,Diesel,Automatic,11.36,2755,171.5,7,2350000,2
129,Maruti Wagon R,Maruti,Wagon R,13,120000,Individual,LPG,Manual,17.3,1061,57.5,5,140000,1
130,Ford Figo,Ford,Figo,10,110000,Individual,Diesel,Manual,20.0,1399,68.0,5,200000,1
131,Maruti Swift,Maruti,Swift,7,63699,Dealer,Petrol,Manual,21.21,1197,81.8,5,355000,0
132,Hyundai Grand,Hyundai,Grand,5,45000,Dealer,Petrol,Manual,18.9,1197,82.0,5,450000,0
133,Maruti Ciaz,Maruti,Ciaz,6,30000,Individual,Petrol,Manual,20.73,1373,91.1,5,600000,0
134,Maruti Vitara,Maruti,Vitara,4,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,850000,1
135,Skoda Superb,Skoda,Superb,11,39256,Dealer,Petrol,Automatic,13.7,1798,157.75,5,369000,0
136,Maruti Wagon R,Maruti,Wagon R,8,16000,Dealer,Petrol,Manual,20.51,998,67.04,5,299000,0
137,Ford Figo,Ford,Figo,6,40000,Individual,Diesel,Manual,20.0,1399,68.05,5,450000,1
138,Hyundai i20,Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,690000,0
139,Hyundai i10,Hyundai,i10,10,82110,Dealer,Petrol,Manual,20.36,1197,78.9,5,265000,0
140,Maruti Wagon R,Maruti,Wagon R,4,10000,Dealer,Petrol,Manual,18.9,998,67.1,5,399000,0
141,Maruti Swift Dzire,Maruti,Swift Dzire,7,44852,Dealer,Petrol,Manual,19.1,1197,85.8,5,420000,0
142,Volkswagen Vento,Volkswagen,Vento,5,110000,Individual,Diesel,Automatic,22.15,1498,108.6,5,750000,1
143,Maruti Swift Dzire,Maruti,Swift Dzire,7,210000,Individual,Diesel,Manual,23.4,1248,74.0,5,350000,1
144,Maruti Ertiga,Maruti,Ertiga,3,21000,Dealer,Petrol,Manual,16.02,1373,93.7,7,825000,2
145,Maruti Baleno,Maruti,Baleno,4,24000,Dealer,Petrol,Manual,21.01,1197,81.8,5,675000,0
146,Ford Figo,Ford,Figo,10,160800,Individual,Diesel,Manual,20.0,1399,68.0,5,250000,1
147,BMW 5,BMW,5,7,76000,Dealer,Diesel,Automatic,18.12,1995,190.0,5,2050000,1
148,Hyundai Grand,Hyundai,Grand,5,62580,Dealer,Diesel,Manual,24.0,1120,70.0,5,425000,1
149,Maruti Swift Dzire,Maruti,Swift Dzire,9,35000,Individual,Petrol,Manual,17.5,1197,85.8,5,350000,0
150,Hyundai Grand,Hyundai,Grand,7,89000,Dealer,Diesel,Manual,24.0,1120,70.0,5,425000,1
151,Datsun RediGO,Datsun,RediGO,4,30000,Individual,Petrol,Manual,22.7,799,53.0,5,200000,0
152,Datsun RediGO,Datsun,RediGO,4,20260,Dealer,Petrol,Manual,22.5,999,67.0,5,245000,0
153,Mahindra Scorpio,Mahindra,Scorpio,5,36908,Dealer,Diesel,Manual,15.4,1997,120.0,9,600000,2
154,Hyundai i20,Hyundai,i20,6,66032,Dealer,Petrol,Manual,17.0,1197,80.0,5,550000,0
155,Skoda Superb,Skoda,Superb,10,56468,Dealer,Petrol,Manual,13.14,1798,157.8,5,479000,0
156,Mahindra Bolero,Mahindra,Bolero,4,68000,Dealer,Diesel,Manual,16.5,1493,70.0,7,515000,2
157,Toyota Innova,Toyota,Innova,5,70000,Individual,Diesel,Automatic,11.36,2755,171.5,7,1800000,2
158,Maruti Wagon R,Maruti,Wagon R,15,90000,Individual,Petrol,Manual,17.3,1061,64.0,5,80000,0
159,Mahindra XUV500,Mahindra,XUV500,5,42485,Dealer,Diesel,Manual,16.0,2179,140.0,7,1350000,2
160,Maruti Ciaz,Maruti,Ciaz,6,45000,Dealer,Petrol,Manual,20.73,1373,91.1,5,565000,0
161,Ford Ecosport,Ford,Ecosport,2,6000,Individual,Diesel,Manual,23.0,1498,98.96,5,952000,1
162,Mahindra Scorpio,Mahindra,Scorpio,6,80000,Individual,Diesel,Manual,15.4,1997,120.0,7,900000,2
163,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,70000,Dealer,Diesel,Automatic,10.0,2148,170.0,5,1025000,1
164,Mahindra XUV500,Mahindra,XUV500,7,72125,Individual,Diesel,Manual,15.1,2179,140.0,7,800000,2
165,Volvo XC60,Volvo,XC60,6,120000,Dealer,Diesel,Automatic,11.2,2400,215.0,5,1800000,1
166,Maruti Ciaz,Maruti,Ciaz,3,28500,Dealer,Diesel,Manual,28.09,1248,88.5,5,925000,1
167,Maruti Alto,Maruti,Alto,11,40000,Dealer,Petrol,Manual,19.7,796,46.3,5,265000,0
168,MG Hector,MG,Hector,2,20000,Dealer,Diesel,Manual,17.41,1956,167.68,5,1750000,1
169,Maruti Baleno,Maruti,Baleno,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,550000,0
170,Maruti Swift Dzire,Maruti,Swift Dzire,8,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,460000,1
171,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,63000,Dealer,Petrol,Automatic,11.74,1796,186.0,5,1275000,0
172,Hyundai Grand,Hyundai,Grand,7,40000,Individual,Petrol,Manual,18.9,1197,82.0,5,540000,0
173,Hyundai i10,Hyundai,i10,12,120000,Individual,Petrol,Manual,19.81,1086,68.05,5,150000,0
174,Maruti Wagon R,Maruti,Wagon R,11,80000,Individual,Petrol,Manual,18.9,998,67.1,5,163000,0
175,Maruti Swift Dzire,Maruti,Swift Dzire,6,52000,Dealer,Diesel,Manual,26.59,1248,74.0,5,449000,1
176,Maruti Swift Dzire,Maruti,Swift Dzire,10,64000,Dealer,Diesel,Manual,19.3,1248,73.9,5,395000,1
177,Volkswagen Polo,Volkswagen,Polo,7,18520,Dealer,Petrol,Manual,16.2,1199,74.0,5,465000,0
178,Maruti Ciaz,Maruti,Ciaz,6,42000,Dealer,Petrol,Manual,20.73,1373,91.1,5,550000,0
179,Maruti Alto,Maruti,Alto,6,30000,Individual,Petrol,Manual,23.95,998,67.1,5,350000,0
180,BMW 5,BMW,5,4,36000,Dealer,Petrol,Automatic,14.04,1997,184.0,5,3100000,0
182,Maruti Ertiga,Maruti,Ertiga,2,18000,Dealer,Petrol,Manual,19.01,1462,103.26,7,800000,2
183,Skoda Rapid,Skoda,Rapid,8,45000,Individual,Petrol,Manual,15.0,1598,103.6,5,625000,0
184,Maruti Alto,Maruti,Alto,11,48156,Dealer,Petrol,Manual,19.7,796,46.3,5,135000,0
185,Honda City,Honda,City,4,70000,Dealer,Diesel,Manual,26.0,1498,98.6,5,825000,1
186,Hyundai i20,Hyundai,i20,10,40434,Dealer,Petrol,Manual,17.0,1197,80.0,5,450000,0
187,Hyundai Creta,Hyundai,Creta,4,51000,Dealer,Diesel,Manual,22.1,1396,88.7,5,875000,1
188,Maruti Vitara,Maruti,Vitara,5,52000,Individual,Diesel,Manual,24.3,1248,88.5,5,680000,1
189,Ford Endeavour,Ford,Endeavour,4,49000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,3050000,2
190,Ford Endeavour,Ford,Endeavour,4,40700,Dealer,Diesel,Automatic,10.91,3198,197.0,7,2850000,2
191,Hyundai Verna,Hyundai,Verna,12,74475,Dealer,Diesel,Manual,16.8,1493,110.0,5,260000,1
192,Maruti Alto,Maruti,Alto,3,35000,Dealer,Petrol,Manual,24.7,796,47.3,5,320000,0
193,Land Rover Rover,Land Rover,Rover,3,38000,Dealer,Diesel,Automatic,18.0,2993,255.0,7,3980000,2
194,Ford Freestyle,Ford,Freestyle,3,30000,Individual,Petrol,Manual,19.0,1194,94.68,5,630000,0
195,Hyundai i20,Hyundai,i20,7,100000,Individual,Diesel,Manual,22.54,1396,88.73,5,500000,1
196,Hyundai Tucson,Hyundai,Tucson,5,120000,Individual,Diesel,Automatic,16.38,1995,182.46,5,1680000,1
197,Maruti Swift,Maruti,Swift,8,63589,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000,1
198,Ford Endeavour,Ford,Endeavour,9,85000,Dealer,Diesel,Manual,10.9,2499,143.0,7,575000,2
199,Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000,1
200,BMW X1,BMW,X1,8,50000,Dealer,Diesel,Automatic,19.62,1998,192.0,5,1650000,1
201,Hyundai Grand,Hyundai,Grand,5,22000,Individual,Petrol,Manual,18.9,1197,82.0,5,520000,0
202,Maruti Swift Dzire,Maruti,Swift Dzire,10,70000,Individual,Petrol,Manual,17.5,1298,85.8,5,315000,0
203,Maruti Alto,Maruti,Alto,14,17000,Dealer,Petrol,Manual,19.7,796,46.3,5,145000,0
205,Renault Duster,Renault,Duster,8,135000,Individual,Diesel,Manual,19.01,1461,108.45,5,430000,1
206,Audi A6,Audi,A6,5,16000,Dealer,Diesel,Automatic,17.68,1968,174.33,5,3300000,1
207,Maruti Swift Dzire,Maruti,Swift Dzire,9,58000,Individual,Petrol,Manual,19.1,1197,85.8,5,430000,0
208,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,11,75000,Dealer,Petrol,Automatic,11.7,1796,178.0,5,800000,0
209,Maruti Swift Dzire,Maruti,Swift Dzire,10,85000,Dealer,Petrol,Manual,19.0,1197,85.8,5,225000,0
210,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,41000,Dealer,Diesel,Automatic,10.0,2143,170.0,5,1450000,1
212,Hyundai i10,Hyundai,i10,12,52473,Dealer,Petrol,Manual,20.36,1197,78.9,5,338000,0
213,Maruti Celerio,Maruti,Celerio,3,20365,Trustmark Dealer,Petrol,Manual,23.1,998,67.04,5,410000,0
214,Volkswagen Vento,Volkswagen,Vento,6,63096,Dealer,Diesel,Manual,20.34,1498,103.2,5,690000,1
215,Honda WR-V,Honda,WR-V,2,23500,Dealer,Petrol,Manual,17.5,1199,88.7,5,799000,0
216,Maruti Wagon R,Maruti,Wagon R,10,12000,Dealer,Petrol,Manual,21.5,1197,81.8,5,290000,0
217,Ford Ecosport,Ford,Ecosport,7,60000,Dealer,Diesel,Manual,22.7,1498,89.84,5,460000,1
218,Audi A4,Audi,A4,9,120000,Individual,Petrol,Automatic,10.8,1984,132.0,5,1100000,0
219,Maruti Swift,Maruti,Swift,8,68000,Dealer,Diesel,Manual,17.8,1248,75.0,5,395000,1
220,BMW Z4,BMW,Z4,10,24000,Dealer,Petrol,Automatic,10.37,2979,306.0,2,3300000,2
221,Honda Jazz,Honda,Jazz,6,31298,Dealer,Petrol,Automatic,19.0,1199,88.7,5,590000,0
222,Skoda Octavia,Skoda,Octavia,11,300000,Individual,Diesel,Manual,18.7,1896,66.0,5,400000,1
223,Skoda Superb,Skoda,Superb,7,84000,Dealer,Diesel,Automatic,17.2,1968,138.08,5,1040000,1
224,Honda Amaze,Honda,Amaze,7,92500,Individual,Diesel,Manual,25.8,1498,98.6,5,300000,1
225,Ford Ecosport,Ford,Ecosport,2,15000,Dealer,Diesel,Manual,22.77,1498,98.59,5,875000,1
226,Maruti Vitara,Maruti,Vitara,4,39000,Dealer,Diesel,Manual,24.3,1248,88.5,5,880000,1
227,Maruti S-Presso,Maruti,S-Presso,2,8500,Individual,Petrol,Manual,21.7,998,67.0,5,430000,0
228,Mahindra Bolero,Mahindra,Bolero,3,50000,Individual,Diesel,Manual,16.5,1493,70.0,7,800000,2
229,Maruti Ertiga,Maruti,Ertiga,5,61149,Dealer,Petrol,Manual,19.01,1462,103.26,7,755000,2
230,Maruti Alto,Maruti,Alto,15,56000,Dealer,Petrol,Manual,19.7,796,46.3,5,175000,0
231,Hyundai Verna,Hyundai,Verna,5,7000,Dealer,Petrol,Manual,17.7,1497,113.42,5,665000,0
232,Maruti Swift Dzire,Maruti,Swift Dzire,6,32000,Dealer,Petrol,Manual,20.85,1197,83.14,5,590000,0
233,Maruti Wagon R,Maruti,Wagon R,9,68000,Dealer,CNG,Manual,26.2,998,58.2,5,315000,1
234,Honda WR-V,Honda,WR-V,3,15799,Dealer,Petrol,Manual,17.5,1199,88.7,5,749000,0
235,Maruti Ciaz,Maruti,Ciaz,6,103000,Individual,Diesel,Manual,28.09,1248,88.5,5,530000,1
236,Hyundai Grand,Hyundai,Grand,3,28000,Individual,Petrol,Manual,18.9,1197,81.86,5,480000,0
237,Maruti Swift,Maruti,Swift,9,90000,Individual,Petrol,Manual,18.6,1197,85.8,5,280000,0
238,Maruti Ciaz,Maruti,Ciaz,5,15000,Individual,Petrol,Automatic,19.12,1373,91.1,5,725000,0
239,Renault Duster,Renault,Duster,7,57000,Dealer,Diesel,Manual,20.46,1461,83.8,5,740000,1
240,Toyota Fortuner,Toyota,Fortuner,5,120000,Individual,Diesel,Manual,12.55,2982,168.5,7,1800000,2
241,Ford Figo,Ford,Figo,6,60217,Dealer,Diesel,Manual,25.83,1498,99.0,5,540000,1
242,Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,0
243,Hyundai Grand,Hyundai,Grand,5,65000,Dealer,Petrol,Manual,18.9,1197,82.0,5,475000,0
244,Ford Freestyle,Ford,Freestyle,3,40000,Individual,Diesel,Manual,24.4,1498,98.63,5,650000,1
